t_s,x_m,y_m,z_m
35.52,-4.8665646689277295,1.4703880215043392,9.580854287472523
35.536,-4.869403944541793,1.4701759531864897,9.587034619754244
35.552,-4.872204176000845,1.46996898172679,9.593209852983343
35.568,-4.874953411020002,1.469771162556857,9.599392510266249
35.584,-4.877639256500582,1.4695866319809023,9.605595120520348
35.6,-4.8802492111843545,1.469419474147494,9.611829449816469
35.616,-4.882770990663502,1.4692735888051778,9.618105663520124
35.632,-4.885330777854938,1.4691471992087928,9.624813193771903
35.648,-4.887891739631518,1.4690263969860284,9.631780803353147
35.664,-4.890385925554153,1.4689257924900516,9.638824652738858
35.68,-4.892790623277709,1.4688524961496623,9.645951410739563
35.696,-4.895132665156592,1.4688073976964098,9.653263131624012
35.712,-4.897434452789449,1.4687853658811103,9.660795073294121
35.728,-4.899704002491106,1.468783091723704,9.668520895059094
35.744,-4.901942743357298,1.4687993672689896,9.676414018517587
35.76,-4.904149390394504,1.468833797471495,9.684451417567757
35.776,-4.906321328278013,1.4688862871149617,9.692612642101697
35.792,-4.9085203511850075,1.4689659089482845,9.701184333257006
35.808,-4.91057054668518,1.4690738559584693,9.709551211648636
35.824,-4.912556943855989,1.4691921983098948,9.717924930214146
35.84,-4.914492749410911,1.4693203039324874,9.72630914957657
35.856,-4.91559440839054,1.467579009933148,9.73339295277648
35.872,-4.917169459519601,1.466704544683107,9.741621875503732
35.888,-4.918882806684312,1.4663685351931537,9.750047155016306
35.904,-4.92064853178272,1.466304868833705,9.758489380798906
35.92,-4.922441609851882,1.466379720091443,9.766902351016006
35.936,-4.924241747734678,1.466530195617133,9.775225687794494
35.952,-4.9260419331902625,1.4667270918299922,9.78343022832507
35.968,-4.927838680496306,1.4669570640844847,9.791486307967308
35.984,-4.929630049329363,1.4672146881948331,9.799366340841582
36.0,-4.93141475163618,1.467498590327557,9.807045412223395
36.016,-4.933192023179809,1.467809443513253,9.814501568869384
36.032,-4.934964123064314,1.4681486022347323,9.821720653863858
36.048,-4.936743437828746,1.4685183340167802,9.828733240374904
36.064,-4.938545972648015,1.4689176205726695,9.835560818740776
36.08,-4.939801575434182,1.4685829815048925,9.836455775021667
36.096,-4.941058034213862,1.4682626744467746,9.837200655216733
36.112,-4.9423032440176735,1.467955789829388,9.837786966178394
36.128,-4.943535101540159,1.467659708359286,9.838231235828202
36.144,-4.944756154890517,1.4673719804621836,9.838556381147047
36.16,-4.945971188442284,1.4670902176873921,9.838785185821276
36.176,-4.9471860303885,1.4668120293242124,9.838938002210561
36.192,-4.948406894953468,1.4665350103269996,9.839032161801846
36.208,-4.949639955215987,1.46625677010851,9.83908204445598
36.224,-4.950891022706818,1.4659749898622827,9.83909936005252
36.24,-4.952165293270496,1.4656874953737904,9.839093453803885
36.256,-4.953467161726426,1.4653923293611493,9.839071561875953
36.272,-4.954800136672438,1.465087800896053,9.839038997202046
36.288,-4.956166913085201,1.4647724794150976,9.838999270335728
36.304,-4.95749796665464,1.464463821906477,9.838989687986219
36.32,-4.958556189272439,1.4642270601094043,9.839125963738342
36.336,-4.959674554150809,1.463986325926635,9.839196948882812
36.352,-4.960853902674786,1.463737919740694,9.839238980605188
36.368,-4.962006538164721,1.4635027118911512,9.839310278202111
36.384,-4.963145049187326,1.463278808650903,9.839384858804475
36.4,-4.964269417958741,1.4630665753289127,9.83945213338257
36.416,-4.965369663785146,1.4628692798683538,9.83951202524108
36.432,-4.966431085031273,1.462692274658865,9.83956874550856
36.448,-4.967438530385957,1.4625403058467472,9.839626258690714
36.464,-4.968381365596728,1.462412711134372,9.839686675101854
36.48,-4.969633051159337,1.4621453606893553,9.839830168915594
36.496,-4.970648289593678,1.4619063812783393,9.839941844295476
36.512,-4.971425401583057,1.461740311944112,9.840003411393857
36.528,-4.971988426805556,1.4616548520234323,9.840018549823125
36.544,-4.972358489412102,1.4616506432151661,9.839999077887784
36.56,-4.972555985767392,1.4617254667214048,9.839957571552658
36.576,-4.9726013640935385,1.4618755509766084,9.839904953639197
36.592,-4.9725149937050155,1.4620953342937184,9.839849713847315
36.608,-4.972344163861713,1.462369026448789,9.839783879838274
36.624,-4.972113646076985,1.4626821726730024,9.839710813657318
36.64,-4.971827838791368,1.4630226120892347,9.839632849688785
36.656,-4.971479496132405,1.4633829453953664,9.83954950256232
36.672,-4.971058704334394,1.4637605428889855,9.839459926291354
36.688,-4.970558930877584,1.4641556330991081,9.839364646172132
36.704,-4.969976059901137,1.4645702735222468,9.839265566711802
36.72,-4.969374774433915,1.4649811018314407,9.83917913188173
36.736,-4.968786140999878,1.4653842423865073,9.839108399408547
36.752,-4.968217686351603,1.4657805009542397,9.839048659947014
36.768,-4.967668621692672,1.4661714792737774,9.838994774805187
36.784,-4.967134935412948,1.4665590553594734,9.838943046178269
36.8,-4.9666113409421255,1.466945208638367,9.83889133637139
36.816,-4.966092076244208,1.467331952817369,9.838838808237593
36.832,-4.9655712354469905,1.4677212976056417,9.838785641900206
36.848,-4.9650428982117525,1.4681152139442366,9.838732794197883
36.864,-4.964501170486517,1.4685155979123872,9.838681792922376
36.88,-4.963940186021597,1.4689242358758297,9.838634546682371
36.896,-4.963354087004824,1.4693427750104726,9.838593156402625
36.912,-4.962736985592754,1.469772702598693,9.838559722312263
36.928,-4.962082898508949,1.4702153365091815,9.838536147611357
36.944,-4.961385641175366,1.4706718291697698,9.8385239468328
36.96,-4.960638666221829,1.4711431883760095,9.838524073647603
36.976,-4.959441492803546,1.4714209412066312,9.838004448306373
36.992,-4.958956859842215,1.4715658983706303,9.838010544308942
37.008,-4.9585426618409425,1.4717536011733752,9.838192591991593
37.024,-4.958153184472539,1.4719807325551897,9.838420052200366
37.04,-4.957853578146522,1.4722005162094383,9.838680546934981
37.056,-4.95764786508391,1.4724008358634697,9.838950753107948
37.072,-4.95751311829293,1.4725831450445217,9.839214843829703
37.088,-4.957418119958006,1.4727547416936837,9.839464220804166
37.104,-4.957331263272487,1.4729263847821652,9.839692705991926
37.12,-4.95722387271057,1.473109111534316,9.839894614581342
37.136,-4.957074881858971,1.4733067675514329,9.840067415947487
37.152,-4.956535117136723,1.473593963546741,9.840321426152256
37.168,-4.955876487376642,1.4738904458270898,9.84052499450522
37.184,-4.955477964166424,1.47408659345583,9.840642258759365
37.2,-4.955317433075215,1.4742077295390479,9.840685980799508
37.216,-4.955386796173495,1.4742647563235396,9.840673308909532
37.232,-4.9556784561933105,1.4742646586073405,9.840620136367795
37.248,-4.956184187137708,1.4742123956061224,9.840540091699152
37.264,-4.95689434114315,1.4741116743813458,9.840444269092528
37.28,-4.957773153820224,1.473974872145676,9.840332221557576
37.296,-4.958796443873312,1.47380790907489,9.840211916521802
37.312,-4.959943108024581,1.4736127560933459,9.840093244282906
37.328,-4.961184872949058,1.4733934711209113,9.839979871528628
37.344,-4.962491573466743,1.4731560419339327,9.839871420739268
37.36,-4.963836257461322,1.4729070185262447,9.839765472962334
37.376,-4.965200826982245,1.4726512753975083,9.839658241476661
37.392,-4.9665253430475955,1.4724030859615553,9.839561667188036
37.408,-4.967811210007838,1.4721639999380962,9.839468014932942
37.424,-4.969071920426669,1.4719321758779613,9.839370287784396
37.44,-4.970315170906318,1.471706454188416,9.839266496903972
37.456,-4.971546051643537,1.4714860165770565,9.839156664822589
37.472,-4.972768746497412,1.4712701574266538,9.83904164156431
37.488,-4.973987390078955,1.4710581177021602,9.838922653348133
37.504,-4.975206420383577,1.4708489731421217,9.838801137722221
37.52,-4.976430631023556,1.4706415773296453,9.838678679830824
37.536,-4.977665054160803,1.4704345569493762,9.838556968629462
37.552,-4.978914756432894,1.4702263519399716,9.838437736502232
37.568,-4.980184599467978,1.4700152899172758,9.83832266769538
37.584,-4.981479001245465,1.469799681760419,9.838213273276995
37.6,-4.98280173136068,1.469577922168445,9.838110737433071
37.616,-4.984155780050368,1.4693485735914507,9.838015743518307
37.632,-4.985543357734217,1.4691104028058501,9.837928289937105
37.648,-4.986944621500156,1.4688665872777742,9.837857253009
37.664,-4.9880048857043064,1.4686868574001506,9.837964774597653
37.68,-4.9891282828148835,1.468504964465386,9.838011444292137
37.696,-4.9903287945252215,1.468312868395432,9.838029978788585
37.712,-4.991544997514631,1.468120275351547,9.838063942520195
37.728,-4.992741114680424,1.4679338096070405,9.838120653782957
37.744,-4.993922809670194,1.467752293251512,9.838179403322458
37.76,-4.995082589021455,1.4675771254163408,9.838234865804553
37.776,-4.996206262555217,1.467412403924359,9.838289286728239
37.792,-4.997278154610882,1.46726359831271,9.838346225043312
37.808,-4.998284794327916,1.467133953616572,9.838407796903045
37.824,-4.999637516809974,1.4668564166689986,9.83858151666036
37.84,-5.000729585351685,1.46660537673107,9.838711193625718
37.856,-5.001582676320747,1.4664188118429728,9.838779704527399
37.872,-5.002221307132625,1.4663052661104348,9.838795376168187
37.888,-5.0026667895057475,1.4662655509977838,9.838773029012911
37.904,-5.002939663919701,1.466297558599369,9.838727212527438
37.92,-5.003060600864488,1.4663976780404757,9.838670161313624
37.936,-5.003050239625393,1.466560586725437,9.838611185601051
37.952,-5.002943183864186,1.4667751652587584,9.838549127994138
37.968,-5.002774553285273,1.4670261513969571,9.838479504047754
37.984,-5.0025515331290915,1.4673010199188594,9.83840356262769
38.0,-5.0022675545835185,1.4675918263244951,9.838320203614936
38.016,-5.001911968637922,1.4678957056697917,9.838228037249882
38.032,-5.001476715756947,1.468213169869105,9.838127346246171
38.048,-5.0009580041696715,1.468546198340827,9.838020340970807
38.064,-5.000392572858027,1.4688836549733693,9.837920069732782
38.08,-4.999830184718537,1.469214727576553,9.837837193609309
38.096,-4.998710817622294,1.4694208621497715,9.8373673308078
38.112,-4.998088102231461,1.4696078529386913,9.837196640952827
38.128,-4.9975306195483755,1.4698367069297338,9.837173769642682
38.144,-4.997008967000523,1.4700946359513032,9.837193969943502
38.16,-4.996506844070039,1.4703725884326078,9.837217203998538
38.176,-4.996013235710548,1.4706649980432909,9.837230217777146
38.192,-4.995519452513319,1.4709688201404891,9.837230617702163
38.208,-4.995017864332164,1.4712826793814249,9.837220268876989
38.224,-4.994501339359612,1.4716062421859353,9.837202570252172
38.24,-4.9939629700209816,1.4719397858975805,9.837181318929833
38.256,-4.993395911109973,1.472283914468532,9.837160210821692
38.272,-4.992793255179112,1.4726393764716386,9.83714258609703
38.288,-4.992147910463061,1.4730069516132727,9.83713126362193
38.304,-4.991452463922841,1.4733873821530032,9.837128408206425
38.32,-4.990721323339021,1.4737729008938965,9.837144996639006
38.336,-4.9903086841491735,1.4740289782691023,9.8373362467003
38.352,-4.989968111163614,1.4742818392958912,9.837502287155958
38.368,-4.989650853294572,1.4745374454430755,9.83764048184774
38.384,-4.989379681273764,1.47477647764355,9.837779121241297
38.4,-4.989191315538363,1.4749814839850761,9.8379403491501
38.416,-4.989072630998471,1.4751573223478693,9.838115377098896
38.432,-4.98899739286383,1.4753122455127299,9.838295257561095
